MemTotal:        7880380 kB
MemFree:         7280688 kB
MemAvailable:    7336072 kB
Buffers:            6624 kB
Cached:           176356 kB
SwapCached:            0 kB
Active:            74016 kB
Inactive:         177904 kB
Active(anon):       2536 kB
Inactive(anon):    70004 kB
Active(file):      71480 kB
Inactive(file):   107900 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097152 kB
SwapFree:        2097152 kB
Dirty:                20 kB
Writeback:            84 kB
AnonPages:         69072 kB
Mapped:           128752 kB
Shmem:              3580 kB
KReclaimable:      30320 kB
Slab:              98648 kB
SReclaimable:      30320 kB
SUnreclaim:        68328 kB
KernelStack:        4976 kB
PageTables:         2912 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     6037340 kB
Committed_AS:     627964 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       30232 kB
VmallocChunk:          0 kB
Percpu:            10080 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:       84992 kB
DirectMap2M:     3856384 kB
DirectMap1G:    12582912 kB
